Cultivar,Epithet,Category,Color / Form,Description,Notes,Image URL
C.M. Hovey,Camellia japonica 'C. M. Hovey',J,Dark Red / Formal Double,"Medium flowers; Charles Mason Hovey, Boston MA (1853); MHS Gold Medal 1853; RHS First Class Certificate 1878; late season; vigorous upright 6-7ft.","C.M. Hovey is a landmark American camellia that revolutionized the nation's horticultural history as the first camellia to win major U.S. honors. Named for pioneering Boston nurseryman and editor Charles Mason Hovey, this cultivar was exhibited at the Massachusetts Horticultural Society as 'Seedling I' in 1853, where it received their prestigious large gold medal. Haggerston's 1850 Magazine of Horticulture describes it as having 'form of flower rounded to the centre and full; petals broad and smooth, generally perfect; colour a bright crimson scarlet; size of flower, large.' By 1878, the Royal Horticultural Society awarded it a First Class Certificate. The formal double flowers are a rich dark red ranging into dark pinks, with perfectly arranged petals. Plant growth is vigorous with a slender, upright habit reaching 6-7 feet tall and 4-5 feet wide, featuring lustrous glossy deep-green foliage. Blooms late season (February-April). Has accumulated numerous synonyms including 'Colonel Firey', 'William S. Hastie', 'Firey King', 'Solaris', and 'Duc de Devonshire'. Variegated sports include 'Scarlett O'Hara' (dark red spotted white) and 'Bradford's Variegated'. Thomas Mecham wrote it was 'without exception the finest camellia of its color in cultivation.' Documented 150-year lifespans in Southern estates. Zones 8-9. (Source: International Camellia Register, International Camellia Society)",https://camellia.iflora.cn/Cutivars/Detail?latin=C.+M.+Hovey
California Sunset,Camellia 'California Sunrise',RH,Pink / Semi-double,"RETICULATA HYBRID.; ACS #2129 (1988); Nuccio; Hybrid: C. sasanqua × C. reticulata; 10-year seedling, first bloomed 1984; Vigorous, upright, somewhat open growth","California Sunrise is a reticulata hybrid camellia originated by Nuccio of Altadena, California, USA, registered in 1988 (ACS Reg. No. 2129). First published in the American Camellia Yearbook. This is a hybrid of C. sasanqua × C. reticulata. Grown as a 10-year-old seedling that first bloomed in 1984. The flowers are semi-double in form, displaying pink coloring. Growth is Vigorous, upright, somewhat open growth. As a reticulata hybrid camellia, California Sunrise is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'California Sunset' and is registered as 'California Sunrise'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=California+Sunrise
Camille ,Camellia japonica 'Castille',J,Red / Single,"JAPONICA.; Registered 1962; Guichard Nursery; Guichard Nursery, Nantes Catalogue, 1962, No.357: Single, trumpet shaped, vermilion red with beautiful stamens. Large, rounded leaves are strongly veined. Originated by Guichard Nursery, Nantes, France. Synonym: ‘Clairon’.","Castille is a japonica camellia originated by Guichard Nursery of Nantes, France, registered in 1962. The flowers are single in form, displaying red coloring. As a japonica camellia, Castille is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Camille' and is registered as 'Castille'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Castille
Carol Humphrey,Camellia japonica 'Carol Humphery',J,Medium Red / Rose-Form to Formal Double,Large flowers; golden yellow stamens with white filaments; vigorous dense upright growth; dark green foliage; mid-season bloom.,"Carol Humphrey is a Camellia japonica cultivar known primarily through its virus-variegated sport, 'Carol Humphrey Variegated', which produces striking large flowers in medium red dramatically blotched with white. The blooms display rose-form double to formal double arrangement with prominent golden yellow stamens and white filaments. Plant habit is vigorous with dense, upright growth and attractive dark green foliage. Flowers appear mid-season. The variegated form displays the characteristic virus-induced color pattern that creates distinctive red and white marbling, a coloration highly prized among collectors and exhibition growers. The cultivar is documented in the American Camellia Society Encyclopedia and the International Camellia Register, where it appears alongside related cultivars including 'Carol Betts', 'Carol Coleman', 'Carol Dickerson', and 'Carol Lynn'. Suitable for both landscape use and exhibition display. The heritage listing indicates it as the parent of the variegated sport, though detailed origination information for the solid form requires further research in historical ACS yearbooks. (Source: American Camellia Society Encyclopedia, International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Carol+Humphrey
Carolina Sunrise,Camellia 'Carolina Moonmist',J,Pink / Single,"JAPONICA.; Registered 1997; the NCSU Arboretum; 25-year seedling; Upright, spreading, dense and average in rate, with dark green leav","Carolina Moonmist is a japonica camellia originated by the NCSU Arboretum of J, registered in 1997. First published in the American Camellia Yearbook. Grown as a 25-year-old seedling. The flowers are single in form, displaying pink coloring. Each bloom features 6 petals with yellow anthers and yellow filaments. Plant growth is upright, spreading, dense and average in rate, with dark green leaves 6. Foliage features dark green leaves 6. As a japonica camellia, Carolina Moonmist is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Carolina Sunrise' and is registered as 'Carolina Moonmist'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Carolina+Moonmist
Carvain's Silk Moire',Camellia japonica 'Carvain's Silk Moire',J,White Variegated / Semi-double,"JAPONICA.; ACS #1212 (1972); Jon Laird Carvain, Fort Worth, Texas; 8-year chance seedling; Upright, dense and rapid in rate with dark green leaves, 6 cm long","Carvain's Silk Moire is a japonica camellia originated by Jon Laird Carvain of Fort Worth, Texas, USA, registered in 1972 (ACS Reg. No. 1212). First published in the American Camellia Yearbook. Grown as a 8-year-old chance seedling. The flowers are semi-double in form, displaying white variegated coloring. Each bloom features 22 petals and 6 petaloids. Plant growth is upright, dense and rapid in rate with dark green leaves, 6 cm long by 3 cm wide. Foliage features dark green leaves, 6 cm long by 3 cm wide. As a japonica camellia, Carvain's Silk Moire is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Carvain's Silk Moire'' and is registered as 'Carvain's Silk Moire'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Carvain%27s+Silk+Moire
Catherine Cathcart,Camellia japonica 'Pink Catherine Cathcart',J,Pink Marbled White / Full Double,"Late flowering; round light green foliage; slow growth; Magnolia Gardens, Charleston SC; pre-1938.","Catherine Cathcart is a historic American cultivar with origins at the renowned Magnolia Gardens (now Magnolia Plantation and Gardens) in Charleston, South Carolina—one of the oldest camellia collections in the United States. First documented in Gerbing's Azalea Gardens Catalogue (1938-1939) as 'late flowering, full double pink, marbled with white' with 'round, light green foliage, slow growth.' The distinctive pink and white marbled coloration is characteristic of this antebellum-era cultivar. Colored illustration appears in Gerbing's 1945 'Camellias' (p.41), and black and white photo in Hertrich's 1959 'Camellias in the Huntington Gardens' vol.III (p.31). Has accumulated numerous synonyms over its long history including 'Leila', 'Lord Darby', 'San Antonio' (with misspelling 'San Antonia'), and 'Catherine Cathcart Variegated'. Orthographic errors include 'Catherine Catchart'. Specimens can be observed at Brookgreen Gardens in South Carolina and other historic Southern collections preserving antebellum-era camellias. The slow growth habit and distinctive marbled flowers make it a collector's piece representing early American camellia cultivation. (Source: International Camellia Register, Brookgreen Gardens)",https://camellia.iflora.cn/Cutivars/Detail?latin=Catherine+Cathcart
Cay McKenzie,Camellia japonica 'Gay McKenzie',J,Pink / Anemone,"JAPONICA.; Registered 1972; L.D. Baggs; Vigorous, upright growth; SCCS., 1972, Camellia Nomenclature, p.63, Flesh pink. Large anemone form. Vigorous, upright growth. Mid-season blooming. Originated by L.D. Baggs, Macon, Georgia, USA.","Gay McKenzie is a japonica camellia originated by L.D. Baggs of Macon, Georgia, USA, registered in 1972. The flowers are anemone in form, displaying pink coloring. Growth is Vigorous, upright growth. As a japonica camellia, Gay McKenzie is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Cay McKenzie' and is registered as 'Gay McKenzie'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Gay+McKenzie
Cecilia,Camellia japonica 'Cecelia',S,Pink / Formal Double,"Small flowers; long flowering early season; moderate bushy growth; small neat leaves; Camellia Forest Nursery, Chapel Hill NC (2008).","Cecilia is a Camellia sasanqua cultivar introduced by Camellia Forest Nursery of Chapel Hill, North Carolina, first appearing in their 2008 catalog. The small pink formal double flowers bloom over an extended period in early season (typically fall), providing weeks of color when most gardens are winding down. The moderate growth rate produces a bushy, compact habit, while the characteristically small leaves give the plant a neat, refined appearance suitable for formal garden settings. As a sasanqua, Cecilia offers several advantages over japonica types: earlier bloom time extending the camellia season, better sun tolerance, and generally improved cold hardiness. The formal double form—unusual among sasanquas which more commonly produce single or semi-double flowers—makes this cultivar distinctive. Important note from the International Camellia Register: Not to be confused with the 1954 C. japonica 'Cecelia' (different spelling). Well-suited for hedging, foundation plantings, espalier against walls, or container culture where its compact habit and long flowering period can be appreciated. (Source: International Camellia Register, Camellia Forest Nursery)",https://camellia.iflora.cn/Cutivars/Detail?latin=Cecilia
Chalice,Camellia japonica 'Alice',J,Pink / Unknown,"JAPONICA.; Registered 1946; Hodgin’s Nursery Catalogue, 1946: Medium size, pink. Mid-seasom blooming. Originated in Australia.","Alice is a japonica camellia, registered in 1946. The flowers are unknown in form, displaying pink coloring. As a japonica camellia, Alice is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Chalice' and is registered as 'Alice'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Alice
Charlene,Camellia 'Charlean',NRH,Pink Variegated / Semi-double,"NON-RETICULATA HYBRID.; ACS #639 (1962); William Stewart, Savannah, Georgia; 8-year hybrid; Upright and spreading, rapid in rate with light green leaves, 10 cm","Charlean is a non-reticulata hybrid camellia originated by William Stewart of Savannah, Georgia, USA, registered in 1962 (ACS Reg. No. 639). First published in the American Camellia Yearbook. Grown as a 8-year-old hybrid. The flowers are semi-double in form, displaying pink variegated coloring. Each bloom features 30 petals with yellow anthers. Plant growth is upright and spreading, rapid in rate with light green leaves, 10 cm x 4. Foliage features light green leaves, 10 cm x 4. Awards and recognition: Award of the ACS, 1945. As a non-reticulata hybrid camellia, Charlean is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Charlene' and is registered as 'Charlean'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Charlean
Chief Arnold,Camellia japonica 'Childe Harold',J,White / Peony,"JAPONICA.; Registered 1962; SCCS., 1962, Camellia Nomenclature, p.27: White. Large, semi-double to peony form with a satin sheen on the petals. Originated in Portugal.","Childe Harold is a japonica camellia, registered in 1962. The flowers are peony in form, displaying white coloring. As a japonica camellia, Childe Harold is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Chief Arnold' and is registered as 'Childe Harold'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Childe+Harold
Christmas Rose,Camellia 'Christmas Eve',NRH,Pink / Unknown,"NON-RETICULATA HYBRID.; Registered 2008; Camellia Forest Nursery; Vigorous growth, becoming a small tree; Christmas Eve. (C.hybrid). Camellia Forest Nursery Catalogue, 2008, p.6; Large, bright pink flowers in mid-autumn. Very vigorous growth, becoming a small tree. New growth is bronze red changing to a deep glossy green. Originated by Camellia Forest Nursery, Chapel Hill, N.C., USA, as a seedling of C.sasanqua Narumigata x C.reticulata ‘Cornelian’ ( Damanao ).","Christmas Eve is a non-reticulata hybrid camellia originated by Camellia Forest Nursery of Chapel Hill, N, registered in 2008. The flowers are unknown in form, displaying pink coloring. Growth is vigorous growth, becoming a small tree. As a non-reticulata hybrid camellia, Christmas Eve is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Christmas Rose' and is registered as 'Christmas Eve'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Christmas+Eve
Christmas Time  (NR - Gene Phillips),Camellia japonica 'Christmas Tree',J,White / Semi-double,"JAPONICA.; Registered 1949; Mrs Mary Edinger; Compact growth; NCCS., 1949, The Camellia Bulletin, vol.3 No.2, p.7: White, streaked light red. Medium sized semi-double. Compact growth. Mid-season flowering. Originated by Mrs Mary Edinger, Rosebud Farm, Sacramento, California, USA.","Christmas Tree is a japonica camellia originated by Mrs Mary Edinger of Rosebud Farm, Sacramento, registered in 1949. The flowers are semi-double in form, displaying white coloring. Growth is Compact growth. As a japonica camellia, Christmas Tree is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Christmas Time  (NR - Gene Phillips)' and is registered as 'Christmas Tree'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Christmas+Tree
Cile Waterford,Camellia japonica 'Cile Watford',J,White / Rose / Standard,"JAPONICA.; Registered 2009; Walter Homeyer; Upright, dense and vigorous growth; ACS, The Camellia Journal, Dec. 2009, p.29, Regn No. 2777. Propagated by E. Hulyn Smith, Valdosta, Ga., USA. American Camellia Yearbook, 2009, p.109 with colour photo; Originated by Walter Homeyer, Macon, Ga. A white, medium size, 9 cm diameter x 2.5 cm deep, rose form double. Heavy petal texture and falls in one piece. Upright, dense and vigorous growth. Dark green leaves average 9 cm x 5 cm. Flowers mid-season.","Cile Watford is a japonica camellia originated by Walter Homeyer of Macon, Ga, registered in 2009. First published in the American Camellia Yearbook. The flowers are rose / standard in form, displaying white coloring. Growth is Upright, dense and vigorous growth. Foliage features Dark green leaves average 9 cm x 5 cm. As a japonica camellia, Cile Watford is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Cile Waterford' and is registered as 'Cile Watford'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Cile+Watford
Cilie Sutton,Camellia japonica 'Cutie Buttons',J,White / Peony,"JAPONICA.; Registered 2016; John Rumbach of Jacksonville, Florida, USA and registered by Mark Crawford and propagated by Loch Laurel Nursery; Upright","Cutie Buttons is a japonica camellia originated by John Rumbach of Jacksonville of Florida, USA and registered by Mark Crawford and propagated by Loch Laurel Nursery, registered in 2016. First published in the American Camellia Yearbook. It arose as a chance seedling. The flowers are peony in form, displaying white coloring. Growth is upright. Foliage features medium green leaves have low serration and average 8. As a japonica camellia, Cutie Buttons is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Cilie Sutton' and is registered as 'Cutie Buttons'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Cutie+Buttons
Cinammon Cindy,Camellia 'Cinnamon Cindy',NRH,White/Pink / Peony,"NON-RETICULATA HYBRID.; ACS #1321 (1974); Dr W. Ackerman, Glendale, Maryland; Parentage: C.japonica ‘Ken’yōtai’ (PI,231859) x C.lutchuensis (PI.226756); 10-year hybrid, first bloomed 1967; Upright and average in rate with light green leaves, 5 cm x 2","Cinnamon Cindy is a non-reticulata hybrid camellia originated by Dr W. Ackerman of Glendale, Maryland, USA, registered in 1974 (ACS Reg. No. 1321). First published in the American Camellia Yearbook. This cultivar was bred from the cross C.japonica ‘Ken’yōtai’ (PI,231859) x C.lutchuensis (PI.226756). Grown as a 10-year-old hybrid that first bloomed in 1967. The flowers are peony in form, displaying white/pink coloring. Each bloom features 18 petals and 22 petaloids with orange anthers and white filaments. Plant growth is upright and average in rate with light green leaves, 5 cm x 2. Foliage features light green leaves, 5 cm x 2. As a non-reticulata hybrid camellia, Cinnamon Cindy is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Cinammon Cindy' and is registered as 'Cinnamon Cindy'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Cinnamon+Cindy
Cleo Akins,Camellia japonica 'Cleo Atkins',J,Dark Red / Semi-double,"JAPONICA.; ACS #2103 (1989); Johnny Aldrich; 15-year seedling; Upright and medium with dark green leaves, 9","Cleo Atkins is a japonica camellia originated by Johnny Aldrich of Brooklet, Georgia, USA, registered in 1989 (ACS Reg. No. 2103). First published in the American Camellia Yearbook. Grown as a 15-year-old seedling. The flowers are semi-double in form, displaying dark red coloring. Each bloom features 18 petals and 3 petaloids with yellow anthers and light pink filaments. Plant growth is upright and medium with dark green leaves, 9. Foliage features dark green leaves, 9. As a japonica camellia, Cleo Atkins is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Cleo Akins' and is registered as 'Cleo Atkins'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Cleo+Atkins
Cleopatra,Camellia japonica 'Cleopatra',S,White / Anemone,"SASANQUA.; Registered 1839; Hogg, 1839, Magazine of Horticulture, 4:155: A seedling of Floy, this name was subsequently invalidly applied to a C.japonica by Macarthur in Australia and to a C.sasanqua by Sawada in the USA. It has also been used erroneously as a synonym for Moss Point Varie­gated and Belle Jeanette in the USA. In 1858, van Houtte erroneously gave it as a synonym for Leda. Charles van Geert Catalogue, No.117, 1850, p.4.: Anemone form, blood red. Orthographic error ‘Cleopatre’. sport: 'White Cleopatra'.","Cleopatra is a sasanqua camellia, registered in 1839. The flowers are anemone in form, displaying white coloring. As a sasanqua camellia, Cleopatra is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Cleopatra
Coed,Camellia japonica 'Colei',J,White / Unknown,"JAPONICA.; Registered 1954; Jessep, 1954, ANZCRS, Camellia Annual, No.1, p.3: A white flowering variety from the Melbourne Botanic Gardens. Originated in Australia.","Colei is a japonica camellia, registered in 1954. The flowers are unknown in form, displaying white coloring. As a japonica camellia, Colei is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Coed' and is registered as 'Colei'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Colei
Colonial Dame ,Camellia japonica 'Colonial Lady',J,Red Variegated / Semi-double,"JAPONICA.; Registered 1946; Valley Garden Supplies Catalogue, 1946: One of the many sports of ‘Herme’, (Hikarugenji). The name was given to this mutation by Vern O. McCaskill, Pasadena, California, USA in 1938. SCCS, 1947, The Camellia. Its Culture and Nomenclature: (‘Fra­grant striped’). Sport of ‘Herme’. White with carmine red stripes and flecks. See Hertrich, 1954, Camellias in Huntington Gardens, vol.I, p.89, black and white photo and colour plate, Fendig, 1953, American Camellia Catalogue: A medium to large white, variegated with red, semi-double to.","Colonial Lady is a japonica camellia, registered in 1946. First published in the American Camellia Yearbook. It is a Sport of ‘Herme’. The flowers are semi-double in form, displaying red variegated coloring. Notably, this cultivar produces slightly fragrant. As a japonica camellia, Colonial Lady is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Colonial Dame' and is registered as 'Colonial Lady'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Colonial+Lady
Comte de Nesselrode,Camellia japonica 'Comte de Nesselrode',J,Red / Semi-double,"JAPONICA.; Registered 1861; Auguste van Geert, 1861, Catalogue, No.50, p.35. No description. Ibid, 1863-1864, Catalogue, No.53, p.35: Very large, magnificent pink. Henderson Nursery Catalogue, 1867, p.33. No description. Linden Catalogue, 1871-1872. A large pink flower, tipped and edged white. Of European origin. [from] Ludicke, Belgium . The variety was imported by McIlhenny from Seidel to the USA about 1937. However, in America, the name has been erroneously applied to a variety originating in Magnolia Gardens. Orthographic variant: ‘Comte Nesselrode’. Orthographic error: ‘Comte F.","Comte de Nesselrode is a japonica camellia, registered in 1861. The flowers are semi-double in form, displaying red coloring. As a japonica camellia, Comte de Nesselrode is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Comte+de+Nesselrode
Crimson Candles,Camellia reticulata 'Taohong Xiuqiu',R,Pink Variegated / Unknown,"Registered 1980; Open pollinated plant of c; Yü & Bartholomew, 1980, American Camellia Yearbook, p.17: Butterfly winged type. Light crimson. Mid-season. Tengchong. Feng et al., 1986, Yunnan Camellias of China, p.70, colour photo and description: Leaves oblong to broad-elliptic, apices acuminate and recurved, bases cuneate, bright green above, thick, midribs sometimes with short hairs beneath, 8.5-9 cm. long x 3.5-4.2 cm wide. Flowers pink (RHS.CC.58B), diameter about 10 cm. Petals mostly 25, folded over to form a ball shape. Stamens numerous, divided into fascicles placed among petals,.","Taohong Xiuqiu is a reticulata hybrid camellia, registered in 1980. First published in the American Camellia Yearbook. The flowers are unknown in form, displaying pink variegated coloring. Growth is open pollinated plant of C. Awards and recognition: RHS. As a reticulata hybrid camellia, Taohong Xiuqiu is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Crimson Candles' and is registered as 'Taohong Xiuqiu'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Taohong+Xiuqiu
Dahlonega,Camellia japonica 'Dahlohnega',J,Yellow / Formal Double,"JAPONICA.; ACS #1995 (1986); W.F. Homeyer Jr., Macon, Georgia; Parentage: seedling x (Elizabeth Boardman x Colonial Dame); 11-year seedling, first bloomed 1983; Upright, aver­age, open and slow with dark green leaves, 10","Dahlohnega is a japonica camellia originated by W.F. Homeyer Jr. of Macon, Georgia, USA, registered in 1986 (ACS Reg. No. 1995). First published in the American Camellia Yearbook. This cultivar was bred from the cross seedling x (Elizabeth Boardman x Colonial Dame). Grown as a 11-year-old seedling that first bloomed in 1983. The flowers are formal double in form, displaying yellow coloring. Each bloom features 85 petals. Plant growth is upright, aver­age, open and slow with dark green leaves, 10. Foliage features dark green leaves, 10. As a japonica camellia, Dahlohnega is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Dahlonega' and is registered as 'Dahlohnega'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Dahlohnega
Dakigura,Camellia japonica 'Daikagura',J,White Variegated / Peony,"JAPONICA.; Registered 1788; Itō, Tokuemon, 1788, Tsubaki Hanagata Tsuki Obo’echō; Shirai-Bunko, 1789, Shoshiki Hanagatachō: Red, peony form, large size, double. Blooms early. Kasuya, Kamegorō, 1859, Tsubaki Irohanayose Irotsuki, list two different cultivars of this name. One is that above, the other is described as a new cultivar. See JCS., 1969, Tsubaki, No.7, p.35. Uesa, 1844, Sōmoku Benran; Itō, Ko’emon, 1879, Chinka Shū: Cardinal red mottled white, medium size, peony form, 9-11 cm across. Very early to mid-season flowering. Large, dull green foliage, slow.","Daikagura is a japonica camellia, registered in 1788. First published in the American Camellia Yearbook. The flowers are peony in form, displaying white variegated coloring. As a japonica camellia, Daikagura is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Dakigura' and is registered as 'Daikagura'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Daikagura
Dancing Blaze,Camellia 'Dancing Flame',J,Red / Semi-double,"JAPONICA.; Registered 2010; Neville Haydon; Hybrid: Peggy Burton x Black Magic; Upright, open foliage when young, and of medium growth rate","Dancing Flame is a japonica camellia originated by Neville Haydon of Takanini, New Zealand, registered in 2010. This is a hybrid of Peggy Burton x Black Magic. The flowers are semi-double in form, displaying red coloring. Each bloom features 18 petals. Growth is upright, open foliage when young, and of medium growth rate. Foliage features green leaves are 8 cm x 4 cm, with crinkled and serrated margins like Black Magic. Awards and recognition: RHS. As a japonica camellia, Dancing Flame is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Dancing Blaze' and is registered as 'Dancing Flame'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Dancing+Flame
